mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,param_clf__solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
68.29993677139282,0.0,0.041652679443359375,0.0,relu,0.001,"(200, 100)",constant,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.887121799844841,0.887121799844841,0.0,25
27.56380605697632,0.0,0.0428466796875,0.0,relu,0.001,"(200, 100)",adaptive,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8890612878200155,0.8890612878200155,0.0,11
68.06393265724182,0.0,0.04178500175476074,0.0,relu,0.001,"(200, 100)",adaptive,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.843289371605896,0.843289371605896,0.0,81
23.138660430908203,0.0,0.043404579162597656,0.0,relu,0.001,"(200, 100)",adaptive,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8886733902249806,0.8886733902249806,0.0,17
67.78386330604553,0.0,0.042999267578125,0.0,relu,0.001,"(200, 100)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.887121799844841,0.887121799844841,0.0,25
21.701114416122437,0.0,0.0172274112701416,0.0,tanh,0.0001,"(100,)",constant,0.001,adam,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8626842513576416,0.8626842513576416,0.0,69
21.305253505706787,0.0,0.01779484748840332,0.0,tanh,0.0001,"(100,)",constant,0.001,sgd,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.7676493405740884,0.7676493405740884,0.0,125
8.555689334869385,0.0,0.018088340759277344,0.0,tanh,0.0001,"(100,)",constant,0.01,adam,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.821567106283941,0.821567106283941,0.0,101
21.248349905014038,0.0,0.018355131149291992,0.0,tanh,0.0001,"(100,)",constant,0.01,sgd,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8638479441427463,0.8638479441427463,0.0,65
22.20218014717102,0.0,0.03439688682556152,0.0,tanh,0.0001,"(100,)",adaptive,0.001,adam,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8626842513576416,0.8626842513576416,0.0,69
